Nom,Facteur de Puissance (FP),Lieux,Page
"Tharalion, Dragon Primordial (Ancient Red Dragon légendaire)",20,Khor'Thélûn,"Tharalion – Flamme Inextinguible (https://www.notion.so/2805bd28250b806091c0d92814d07248?pvs=21) "
"Virelya, Gardienne des Éclats",20,Thal'Myrrûn,"Virelya – Gardienne des Éclats (https://www.notion.so/2805bd28250b803991e1e1fc7a30756c?pvs=21) "
"Neruzan, Givre du Silence",20,Khor'Thélûn,"Neruzan – Givre du Silence (https://www.notion.so/2805bd28250b8088bd54c6f099574f7b?pvs=21) "
"Sylvarïn, Gardien du Lien",20,Sylve d'Aerwyn,"Sylvarïn – Gardien du Lien (https://www.notion.so/2815bd28250b8048a357c1e53d3b4b71?pvs=21) "
"Ashkariel, Reflet des Eaux",20,Sylve d'Aerwyn,"Ashkariel – Reflet des Eaux (https://www.notion.so/2815bd28250b8084bb1de2dda54fafcd?pvs=21) "
"Drav’Thuun, Seigneur des Braises",20,Khor'Thélûn,"Drav’Thuun – Seigneur des Braises (https://www.notion.so/2815bd28250b80b9bea4f3e8cbf27bbf?pvs=21) "
"Kaeryss, Dame des Miroirs",20,Thal'Myrrûn,"Kaeryss – Dame des Miroirs (https://www.notion.so/2815bd28250b800986f8ed484ea5a4b2?pvs=21) "
"Phorvhan, Dragon des Abîmes Engloutis",20,Thal'Myrrûn,"Phorvhan – Dragon des Abîmes Engloutis (https://www.notion.so/2815bd28250b80f89ec5f99072cfd1ac?pvs=21) "
"Varnexis, Dévoreuse des Sables",20,Dhar'Zulun,"Varnexis – Dévoreuse des Sables (https://www.notion.so/2815bd28250b80bc9c55f20204c47e7e?pvs=21) "
Le Tourmenteur,24,Khor'Thélûn,
"Zyraneth, Tisseuse des Cendres",20,Khor'Thélûn,"Zyraneth – Tisseuse des Cendres (https://www.notion.so/2815bd28250b80d6bfcdd094a382b713?pvs=21) "
Araignée-loup géante (Giant Wolf Spider),1/4,Frondains,318
Buisson animé (Twig Blight),1/8,Frondains,319
Serpent venimeux géant (Giant Poisonous Snake),1/4,Frondains,339
Loup,1/4,Frondains,330
Satyre,1/2,Frondains,261
Serpent constricteur géant (Giant Constrictor Snake),2,Frondains,339
Dryade,1,Frondains,117
Ours-hibou (Owlbear),3,Frondains,180
Ettercap,2,Frondains,130
Guenaude verte (Green Hag),5,Frondains,178
Panthère,1/4,Frondains,335
Licorne,5,Frondains,198
Dragon vert adulte (Adult Green Dragon),15,Frondains,96
Feu follet (Will-o’-Wisp),2,Frondains,133
Naga gardien (Guardian Naga),10,Frondains,230
Banshee,4,Frondains,23
Spectateur (Spectator),3,Frondains,293
L’Ombre de l’Anserah,3,"Frondains, Lethariel",None
Souffles Vides,1,"Frondains, Lethariel",None
