Titre,Colonne 1,Colonne 2,Colonne 3,Colonne 4
Objet,VO,Prix,Poids,Prix en pc
Acide (fiole),Acid,25 po,500 g,2500
Antidote (fiole),Antitoxin,50 po,-,5000
Balance de marchand,"Scale, Merchant’s",5 po,"1,5 kg",500
Bélier portable,"Ram, Portable",4 po,"17,5 kg",400
Billes (sac de 1000),Ball Bearings,1 po,1 kg,100
Boite d'allume-feu,Tinderbox,5 pa,500 g,50
Bougie,Candle,1 pc,-,1
Boulier,Abacus,2 po,1 kg,200
Bouteille en verre,"Bottle, glass",2 po,1 kg,200
Cadenas,Lock,10 po,500 g,1000
Carquois,Quiver,1 po,500 g,100
Chaîne (3 m),Chain,5 po,5 kg,500
Chausse-trappes (sac de 20),Caltrops,1 po,1 kg,100
Chevalière,Signet ring,5 po,-,500
Cire à cacheter,Sealing wax,5 pa,-,50
Cloche,Bell,1 po,-,100
Coffre,Chest,5 po,"12,5 kg",500
Corde en chanvre (15 m),"Rope, hempen",1 po,5 kg,100
Corde en soie (15 m),"Rope, silk",10 po,"2,5 kg",1000
Couverture,Blanket,5 pa,"1,5 kg",50
Craie (un morceau),Chalk,1 pc,-,1
Cruche ou pichet,Jug or pitcher,2 pc,2 kg,2
Eau bénite (flasque),Holy Water,25 po,500 g,2500
Échelle (3 m),Ladder,1 pa,"12,5 kg",10
Encre (bouteille de 30 ml),Ink,10 po,-,1000
Étui à carreaux,"Case, Crossbow Bolt",1 po,500 g,100
Étui à cartes ou parchemins,"Case, Map or Scroll",1 po,500 g,100
Feu grégeois (flasque),Alchemist’s Fire,50 po,500 g,5000
Fiole (10 cl),Vial,1 po,-,100
Flasque ou chope (50 cl),Flask,2 pc,500 g,2
Focaliseur arcanique,,,,
Baguette,Wand,10 po,500 g,1000
Bâton,Staff,5 po,2 kg,500
Boule de cristal,Crystal,10 po,500 g,1000
Orbe,Orb,20 po,"1,5 kg",2000
Sceptre,Rod,10 po,1 kg,1000
Focaliseur druidique,,,,
Baguette d'if,Yew wand,10 po,500 g,1000
Bâton,Wooden staff,5 po,2 kg,500
Branche de gui,Sprig of mistletoe,1 po,-,100
Totem,Totem,1 po,-,100
Gamelle,Mess Kit,2 pa,500 g,20
Gourde (pleine),Waterskin,2 pa,"2,5 kg",20
Grappin,Grappling hook,2 po,2 kg,200
Grimoire,Spellbook,50 po,"1,5 kg",5000
Huile (flasque),Oil,1 pa,500 g,10
Kit d’escalade,Climber’s Kit,25 po,6 kg,2500
Lampe,Lamp,5 pa,500 g,50
Lanterne à capote,"Lantern, hooded",5 po,1 kg,500
Lanterne sourde,"Lantern, bullseye",10 po,1 kg,1000
Livre,Book,25 po,"2,5 kg",2500
Longue-vue,Spyglass,1000 po,500 g,100000
Loupe,Magnifying Glass,100 po,-,10000
Marteau,Hammer,1 po,"1,5 kg",100
Marteau de forgeron,"Hammer, sledge",2 po,5 kg,200
Matériel de pêche,Fishing Tackle,1 po,2 kg,100
Menottes,Manacles,2 po,3 kg,200
Miroir en acier,"Mirror, steel",5 po,250 g,500
Munitions,,,,
Aiguilles de sarbacane (50),Blowgun needles,1 po,500 g,100
Billes de fronde (20),Sling bullets,4 pc,750 g,4
Carreaux d'arbalète (20),Crossbow bolts,1 po,750 g,100
Flèches (20),Arrows,1 po,500 g,100
Palan,Block and tackle,1 po,"2,5 kg",100
Panier,Basket,4 pa,1 kg,40
Papier (une feuille),Paper,2 pa,-,20
Parchemin (une feuille),Parchment,1 pa,-,10
Parfum (fiole),Perfum,5 po,-,500
Pelle,Shovel,2 po,"2,5 kg",200
Perche (3 m),Pole,5 pc,"3,5 kg",5
Pied-de-biche,Crowbar,2 po,"2,5 kg",200
Piège à mâchoires,Hunting Trap,5 po,"12,5 kg",500
Pierre à aiguiser,Whetstone,1 pc,500 g,1
Pioche de mineur,"Pick, miner's",2 po,5 kg,200
Piton,Piton,5 pc,125 g,5
Plume d’écriture,Ink pen,2 pc,-,2
Pointes en fer (10),"Spikes, iron",1 po,"2,5 kg",100
Poison (fiole),Poison,100 po,-,10000
Pot en fer,"Pot, iron",2 po,5 kg,200
Potion de guérison,Potion of Healing,50 po,250 g,5000
Rations (1 jour),Rations,5 pa,1 kg,50
Robes,Robes,1 po,2 kg,100
Sablier,Hourglass,25 po,500 g,2500
Sac,Sack,1 pc,250 g,1
Sac à dos,Backpack,2 po,"2,5 kg",200
Sac de couchage,Bedroll,1 po,"3,5 kg",100
Sacoche,Pouch,5 pa,500 g,50
Sacoche à composantes,Component Pouch,25 po,1 kg,2500
Savon,Soap,2 pc,-,2
Seau,Bucket,5 pc,1 kg,5
Sifflet,Signal whistle,5 pc,-,5
Symbole sacré,,,,
Amulette,Amulet,5 po,500 g,500
Emblème,Emblem,5 po,-,500
Reliquaire,Reliquary,5 po,1 kg,500
Tente,Tent,2 po,10 kg,200
Tonneau,Barrel,2 po,35 kg,200
Torche,Torch,1 pc,500 g,1
Trousse de soins,Healer’s Kit,5 po,"1,5 kg",500
Vêtements communs,"Clothes, common",5 pa,"1,5 kg",50
Vêtements costumes,"Clothes, costume",5 po,2 kg,500
Vêtements fins,"Clothes, fine",15 po,3 kg,1500
Vêtements voyage,"Clothes, traveler’s",2 po,2 kg,200
