Nom,Appartenance,Fonction,Lieu,Race,État
Fira,None,Figure Mythologique,Mystique,Inconnue,Mort.e
Elenwë de Cime-Haute,Galavorn,Voix des Galavorn,"Cîmes-Haute, Frondains, Hauts-Feuillus, Mirenfeld, Sylve d'Aerwyn",Elfe,Vivant.e
Vahris l’Écorcé,"Cercle de Nourchêne, Conseil de Mirenfeld, Druide","Chef du cercle,Haut-Druide","Frondains, Mirenfeld, Sylve d'Aerwyn",Humain,Vivant.e
Sylhira d’Aey’Luin,"Aeriël, Conseil de Mirenfeld",Voix des Aeriël,"Aey'Luin, Frondains, Mirenfeld, Sylve d'Aerwyn",Elfe,Vivant.e
Dame Iriah d’Orvel,Conseil de Mirenfeld,Ambassadeur de Vhalarion,"Frondains, Mirenfeld, Sylve d'Aerwyn, Vhalarion, Vhalarion Prime",Humain,Vivant.e
Brannos le Large,Conseil de Mirenfeld,"Porteur des Marches,Chef du commerce et des routes","Frondains, Mirenfeld, Sylve d'Aerwyn",Halfelin,Vivant.e
Dhorren Vass,Conseil de Mirenfeld,Responsable de la sécurité urbaine,"Frondains, Mirenfeld, Sylve d'Aerwyn",Humain,Vivant.e
Nhyrel de Myrrha,"Conseil de Mirenfeld, Mage Mémoire",Archiviste,"Frondains, Mirenfeld, Sylve d'Aerwyn",Gnome,Vivant.e
Kaelith,None,Alchimiste,"Frondains, Mirenfeld, Sylve d'Aerwyn",Gnome,Vivant.e
Eryndel la Grise,"Aeriël, Cercle du Souffle, Ordre du Souffle",,Inconnu,Elfe,Vivant.e
Frère Tolan,Ordre du Souffle,Voile,"Frondains, Mirenfeld, Sylve d'Aerwyn",Inconnue,Vivant.e
Maera d’Ossiel,Ordre du Souffle,Scribe,Inconnu,Humain,Vivant.e
Séliane du Souffle Perdu,"Druide, Ordre du Souffle",Mesagère druidique - Voile,"Frondains, Mirenfeld, Sylve d'Aerwyn",Demi-Elfe,Vivant.e
Vorran Caldor,Ordre du Souffle,Sentinelle,Inconnu,Inconnue,Vivant.e
Frère Althien,Ordre du Souffle,Symphoniste,Inconnu,Inconnue,Vivant.e
La Voix de Glace,Symphonie Silencieuse,Guide Suprême,Inconnu,Inconnue,Vivant.e
Léonas Valtrenn,Symphonie Silencieuse,Inquisiteur du Silence,Inconnu,Inconnue,Vivant.e
Sœur Nhyssa,Symphonie Silencieuse,Prophétesse muette,Inconnu,Inconnue,Vivant.e
Arveth le Silencieux,Symphonie Silencieuse,Espion,"Frondains, Mirenfeld, Sylve d'Aerwyn",Humain,Vivant.e
Thaëra Lys,Symphonie Silencieuse,Membre du Chœur de Cristal,Inconnu,Inconnue,Vivant.e
Verrun l’Oublié,Choeur du Néant,Prohète d’Orak’Nhur,Inconnu,Inconnue,Vivant.e
Velna Ka’thul,Choeur du Néant,Prêtresse de Velthéa,Inconnu,Inconnue,Vivant.e
Thar’Em Oss,Choeur du Néant,Chanteur du Néant,Inconnu,Inconnue,Vivant.e
Dharen le Mûr,Choeur du Néant,Ex-Druide du Souffle,Inconnu,Inconnue,Vivant.e
Lorn Ysmaël,Choeur du Néant,Dissolvant du Cercle Gris,"Frondains, Mirenfeld, Sylve d'Aerwyn",Inconnue,Vivant.e
Brannos Moellefine,Tronc-Conseil,"Chef,Maître-Tonnelier","Frondains, Nourchêne, Sylve d'Aerwyn",Halfelin,Vivant.e
Tilda Racine-Lente,Tronc-Conseil,Gardienne du Figuier Creux,"Frondains, Nourchêne, Sylve d'Aerwyn",Halfelin,Vivant.e
Merrin Brisefrond,Tronc-Conseil,Ambassadeur de Mirenfeld,"Frondains, Mirenfeld, Nourchêne, Sylve d'Aerwyn",Gnome,Vivant.e
Sarya Nerthel,Cercle de Nourchêne,Apprentie,"Frondains, Nourchêne, Sylve d'Aerwyn",Humain,Vivant.e
